,英国,巴西,法国,德国,西班牙,俄罗斯,日本,印度,韩国,美国,中国
1863,4.8,,,,,,,,,,
1897,,,,,,,,,,1,
1900,,,1,,,,,,,,
1901,,,,,,,,,,,
1902,237,,,10,,,,,,62,
1903,,,,,,,,,,,
1904,,,,,,,,,,,
1905,,,,,,,,,,,
1906,,,,,,,,,,,
1907,,,,,,,,,,,
1908,,,,,,,,,,,
1909,,,,,,,,,,,
1910,,,,,,,,,,,
1911,,,,,,,,,,,
1912,,,,,,,,,,,
1913,,,,,1,,,,,,
1914,,,,,,,,,,,
1915,,,,,,,,,,,
1916,,,,,,,,,,,
1917,,,,,,,,,,,
1918,,,,,,,,,,,
1919,,,,,,,,,,,
1920,,,,,,,,,,,
1921,,,,,,,,,,,
1922,,,,,,,,,,,
1923,,,,,,,,,,,
1924,247,,,29,28,,,,,126,
1925,,,,,,,,,,,
1926,,,,,,,,,,,
1927,,,,,,,1,,,,
1928,,,,,,,,,,,
1929,,,,,,,,,,,
1930,,,,,,,,,,,
1931,,,,,,,,,,,
1932,,,,,,,,,,,
1933,,,,,,,,,,,
1934,,,,,,,,,,,
1935,257,,,46,48,40,43,,,184,
1936,,,,,,,,,,,
1937,,,,,,,,,,,
1938,,,,,,,,,,,
1939,,,,,,,,,,,
1940,,,,,,,,,,,
1941,,,,,,,,,,,
1942,,,,,,,,,,,
1943,,,,,,,,,,,
1944,,,,,,,,,,,
1945,,,,,,,,,,,
1946,,,,,,,,,,,
1947,,,,,,,,,,,
1948,,,,,,,,,,,
1949,,,,,,,,,,,
1950,,,,,,,,,,,
1951,,,,,,,,,,,
1952,,,,,,,,,,,
1953,,,,,,,,,,,
1954,264,,,60,65,64,73,,,231,
1955,,,,,,,,,,,
1956,,,,,,,,,,,
1957,,,,,,,,,,,
1958,,,,,,,,,,,
1959,,,,,,,,,,,
1960,279,,,86,96,107,130,,,319,
1961,,,,,,,,,,,
1962,,,,,,,,,,,
1963,,,,,,,,,,,
1964,,,,,,,,,,,
1965,,,,,,,,,,,
1966,,,,,,,,,,,
1967,,,,,,,,,,,
1968,,,,,,,,,,,
1969,,,,,,,,,,,23
1970,,,,,,,,,,,
1971,302,,,128,146,178,222,,,462,54.9
1972,,,,,,,,,,,
1973,,,,,,,,,,,
1974,,1,,,,,,,1,,
1975,,,,,,,,,,,
1976,,,,,,,,,,,
1977,,,,,,,,,,,
1978,,,,,,,,,,,
1979,316,48,,154,177,222,279,,82,550,59
1980,,,,,,,,,,,
1981,,,,,,,,,,,
1982,,,,,,,,,,,
1983,,,,,,,,,,,
1984,,,,,,,,1,,,
1985,,,,,,,,,,,
1986,,,,,,,,,,,
1987,,,,,,,,,,,
1988,,,,,,,,,,,
1989,,,,,,,,,,,
1990,,,,,,,,,,,
1991,,,,,,,,,,,
1992,,,,,,,,,,,
1993,,,,,,,,,,,
1994,,,,,,,,,,,
1995,335,,,,216,278,352,104,187,663,
1996,,,,,,,,,,,
1997,,,,,,,,,,,
1998,,,,,,,,,,,
1999,,,,,,,,,,,
2000,351,127,124,216,251,327,416,191,293,762,245
2001,,,,,,,,,,,
2002,,,,,,,,,,,
2003,,,,,,,,,,,
2004,,,,,,,,,,,
2005,374,180,180,257,301,397,506,314,432,903,736
2006,,,,,,,,,,,
2007,,,,,,,,,,,
2008,,,,,,,,,,,
2009,,,,,,,,,,,
2010,397,232,236,298,350,466,596,436,571,1042,2090
2011,,,,,,,,,,,
2012,,,,,,,,,,,
2013,,,,,,,,,,,
2014,,,,,,,,,,,
2015,420,285,292,339,399,535,687,560,711,1184,4873
2016,,,,,,,,,,,
2017,,,,,,,,,,,
2018,,,,,,,,,,,
2019,439,328,338,373,440,593,761,661,826,1299,7145
2020,,,,,,,,,,,
2021,446,345,356,386,455,615,701,791,871,1344,8040
